Month,Ads_Revenue,Sponsorship_Revenue,Donations,Expenses,Net_Profit
2012-01-01,-5830.55,2400.51,-564.54,1584.95,-5579.53
2012-02-01,648.28,1284.78,1962.97,1240.04,2656.0
2012-03-01,1641.41,-189.31,-967.2,1775.2,-1290.3
2012-04-01,3236.08,-4500.0,2654.79,1763.48,-372.61
2012-05-01,-1466.69,486.4,369.69,2254.03,-2864.64
2012-06-01,1616.43,-1337.44,-232.19,1989.24,-1942.45
2012-07-01,-177.85,-900.67,-302.65,1492.74,-2873.91
2012-08-01,4857.59,422.1,-48.46,2356.23,2875.01
2012-09-01,-5203.96,-4500.0,1201.33,2166.31,-10668.94
2012-10-01,1051.91,-2130.13,113.96,1974.63,-2938.89
2012-11-01,-6000.0,714.46,-194.37,1732.05,-7211.96
2012-12-01,-216.58,-4500.0,-18.5,1512.17,-6247.25
2013-01-01,-6000.0,-564.77,171.4,1688.34,-8081.71
2013-02-01,-4923.13,-602.64,-82.3,2126.62,-7734.69
2013-03-01,3325.72,204.76,214.14,2365.38,1379.24
2013-04-01,-372.22,-4500.0,68.89,2262.97,-7066.3
2013-05-01,106.18,3964.93,-1101.27,1653.35,1316.51
2013-06-01,-1094.0,-3104.45,-1500.0,1464.11,-7162.56
2013-07-01,-172.43,-1372.95,-55.62,1842.27,-3443.27
2013-08-01,-6000.0,709.0,-148.47,1269.47,-6708.93
2013-09-01,6892.93,5598.09,350.88,1896.95,10944.94
2013-10-01,585.66,-4500.0,-478.11,1755.72,-6148.16
2013-11-01,3318.59,-990.03,567.88,1660.19,1236.25
2013-12-01,-779.92,-866.49,222.48,1321.59,-2745.52
2014-01-01,-259.91,8215.97,-17.62,1954.08,5984.37
2014-02-01,-1193.28,-1504.48,-462.15,1640.19,-4800.1
2014-03-01,-1781.54,2050.51,-85.6,1449.02,-1265.65
2014-04-01,1811.5,-1661.47,-155.3,938.32,-943.6
2014-05-01,4411.49,300.71,62.81,1791.75,2983.27
2014-06-01,503.19,-4500.0,-374.93,2331.68,-6703.42
2014-07-01,4151.91,-4500.0,-368.15,2298.38,-3014.62
2014-08-01,1481.05,3579.32,-34.74,1662.87,3362.76
2014-09-01,968.33,9476.34,-34.69,1619.34,8790.65
2014-10-01,-192.11,-35.04,-579.32,1940.63,-2747.11
2014-11-01,-894.46,-2688.33,1075.63,1500.48,-4007.65
2014-12-01,425.76,-540.6,575.19,1890.54,-1430.19
2015-01-01,108.48,511.35,316.43,2029.82,-1093.57
2015-02-01,-5003.94,-2310.16,-58.66,2168.08,-9540.84
2015-03-01,-250.47,-1468.39,320.37,1769.95,-3168.45
2015-04-01,-150.6,590.74,1279.24,1738.9,-19.52
2015-05-01,-896.98,1508.34,414.34,1536.61,-510.9
2015-06-01,-4544.21,933.13,584.57,1551.94,-4578.45
2015-07-01,2797.1,-1782.57,4234.78,1732.06,3517.25
2015-08-01,4374.34,-191.38,-1500.0,1910.21,772.76
2015-09-01,-1735.38,2635.08,-11.01,2074.08,-1185.38
2015-10-01,100.41,-3523.28,774.55,1559.05,-4207.37
2015-11-01,3215.79,540.11,-91.88,2247.81,1416.22
2015-12-01,376.1,-2146.55,-1500.0,1718.66,-4989.11
2016-01-01,1739.0,-1433.29,-269.36,1793.59,-1757.24
2016-02-01,-19.84,1237.81,-171.1,1575.84,-528.97
2016-03-01,5417.79,458.05,-106.9,1072.73,4696.22
2016-04-01,871.1,1157.09,-258.47,2065.21,-295.5
2016-05-01,-543.63,-2060.11,492.91,2021.05,-4131.88
2016-06-01,17229.14,-4500.0,99.35,1715.6,11112.9
2016-07-01,-5625.14,-344.09,-1500.0,1820.1,-9289.33
2016-08-01,20000.0,15000.0,41.0,1954.78,33086.22
2016-09-01,-92.9,258.78,253.23,1331.24,-912.13
2016-10-01,-837.51,3878.26,-154.23,1641.28,1245.23
2016-11-01,165.47,-2927.43,-397.83,2038.28,-5198.07
2016-12-01,2384.84,2456.64,-102.39,1423.71,3315.37
2017-01-01,-1563.08,-4500.0,-33.63,1888.07,-7984.77
2017-02-01,-1465.69,14131.66,209.58,1393.03,11482.52
2017-03-01,417.21,93.83,1031.88,1939.93,-397.01
2017-04-01,2922.41,-1895.84,-38.44,1789.31,-801.17
2017-05-01,-476.13,680.59,-298.75,1315.46,-1409.74
2017-06-01,-6000.0,1104.36,249.33,2149.42,-6795.74
2017-07-01,-3588.4,15000.0,-31.68,1579.62,9800.3
2017-08-01,-944.43,1848.86,-344.57,1556.92,-997.07
2017-09-01,3846.19,-313.72,-1500.0,1860.17,172.3
2017-10-01,-995.21,473.1,282.51,2144.59,-2384.19
2017-11-01,171.66,1598.84,-580.87,1495.25,-305.63
2017-12-01,-6000.0,15000.0,161.31,1818.5,7342.81
2018-01-01,543.88,-578.36,146.3,1928.64,-1816.82
2018-02-01,1550.26,3072.53,494.53,2007.93,3109.39
2018-03-01,2883.11,430.26,-53.44,1852.93,1407.0
2018-04-01,1044.39,15000.0,-894.02,1689.89,13460.47
2018-05-01,-4838.11,-993.69,-313.84,1551.72,-7697.37
2018-06-01,-528.65,-2455.88,280.17,1825.84,-4530.21
2018-07-01,6333.43,1854.74,116.61,1478.36,6826.42
2018-08-01,-2978.02,123.05,715.45,923.59,-3063.11
2018-09-01,-1826.24,-4500.0,182.95,1930.97,-8074.25
2018-10-01,-2247.23,-382.15,760.53,2071.18,-3940.02
2018-11-01,3852.12,-4361.73,-448.02,1091.12,-2048.75
2018-12-01,700.18,-1134.29,778.3,1497.08,-1152.89
2019-01-01,726.97,1750.29,5000.0,1985.75,5491.52
2019-02-01,1920.09,3142.98,261.82,2417.25,2907.64
2019-03-01,-386.5,-1182.75,46.46,1806.24,-3329.03
2019-04-01,632.35,1352.83,-155.03,1581.6,248.56
2019-05-01,78.85,-1033.12,-294.07,1745.13,-2993.47
2019-06-01,-18.81,-1934.2,1297.55,2212.46,-2867.93
2019-07-01,-1264.38,-3126.96,-174.59,1606.21,-6172.15
2019-08-01,-3482.74,1295.2,-16.63,1560.24,-3764.42
2019-09-01,-394.91,2771.96,-570.38,1655.18,151.49
2019-10-01,-6000.0,-725.35,-1044.78,1514.0,-9284.13
2019-11-01,776.07,-3126.28,1.61,1836.8,-4185.4
2019-12-01,-1038.14,-3486.51,67.61,2287.4,-6744.44
2020-01-01,-301.92,-545.81,-70.91,1896.92,-2815.56
2020-02-01,790.87,-4500.0,96.87,1724.29,-5336.55
2020-03-01,-6000.0,-878.66,365.63,1712.46,-8225.48
2020-04-01,-74.07,857.84,285.27,1331.04,-262.01
2020-05-01,1183.68,-4500.0,-230.51,2064.93,-5611.76
2020-06-01,1506.4,-1247.98,522.26,1776.65,-995.97
2020-07-01,2180.07,-2160.24,-254.04,1745.86,-1980.06
2020-08-01,1598.34,-3934.84,-56.26,2757.93,-5150.7
2020-09-01,252.3,-2318.95,-693.24,1889.63,-4649.51
2020-10-01,801.11,-141.66,-116.29,1574.46,-1031.3
2020-11-01,2136.55,1253.57,-1142.23,1672.09,575.79
2020-12-01,-673.54,11441.56,502.04,2144.53,9125.53
2021-01-01,5090.93,-327.39,434.2,1833.98,3363.76
2021-02-01,-6000.0,-3246.72,-24.37,1368.52,-10639.6
2021-03-01,-1946.7,-1689.75,144.95,2075.77,-5567.27
2021-04-01,-774.84,121.87,78.08,1599.56,-2174.45
2021-05-01,-744.8,1154.45,8.57,2361.99,-1943.77
2021-06-01,-201.35,-252.03,-137.56,2124.01,-2714.96
2021-07-01,-1690.33,-437.77,-876.93,1665.8,-4670.84
2021-08-01,-5303.15,4003.58,121.65,2184.3,-3362.22
2021-09-01,-210.47,494.68,555.23,1820.36,-980.93
2021-10-01,5461.68,2989.64,141.36,2055.83,6536.85
2021-11-01,-6000.0,2632.32,153.92,1945.42,-5159.18
2021-12-01,-1321.45,-4500.0,-34.54,1546.09,-7402.08
2022-01-01,11041.0,-1235.7,-59.59,1606.94,8138.77
2022-02-01,829.74,-345.36,133.8,2108.99,-1490.8
2022-03-01,5685.94,797.25,-1500.0,1699.57,3283.63
2022-04-01,1043.35,1282.62,-294.6,1678.91,352.46
2022-05-01,7171.42,-1673.87,1167.59,1513.46,5151.68
2022-06-01,-2194.42,-541.18,3803.6,1927.08,-859.08
2022-07-01,3218.71,4753.38,2233.68,2418.76,7787.01
2022-08-01,5041.68,-2071.16,-190.8,1479.74,1299.98
2022-09-01,-2875.65,-4500.0,-39.29,1807.27,-9222.2
2022-10-01,894.61,-4500.0,37.28,2223.67,-5791.78
2022-11-01,20000.0,-2932.32,-198.14,1776.11,15093.44
2022-12-01,5138.31,-86.64,553.68,1935.71,3669.63
2023-01-01,270.81,-559.61,1032.64,1481.28,-737.44
2023-02-01,-1883.88,-2313.89,2578.49,1928.49,-3547.76
2023-03-01,-5412.76,1136.99,1746.86,1743.86,-4272.76
2023-04-01,-1836.22,-854.52,-197.32,2095.72,-4983.78
2023-05-01,20000.0,5253.95,-244.7,2156.22,22853.04
2023-06-01,-3261.72,-397.65,212.73,2576.87,-6023.51
2023-07-01,-366.14,-358.33,220.3,1973.89,-2478.05
2023-08-01,-314.75,1177.85,-1094.38,1897.74,-2129.03
2023-09-01,331.96,991.25,159.37,1858.32,-375.74
2023-10-01,-2018.96,3300.91,70.08,1694.05,-342.03
2023-11-01,-1440.42,3.52,-37.63,1901.55,-3376.08
2023-12-01,-300.84,3719.86,-292.26,1711.38,1415.38
2024-01-01,-734.79,-383.15,-988.01,1850.54,-3956.49
2024-02-01,579.89,-1934.57,280.92,2195.28,-3269.03
2024-03-01,-1270.56,8.28,-215.83,1498.04,-2976.14
2024-04-01,-804.04,1778.83,133.41,2141.96,-1033.77
2024-05-01,4608.26,-3289.37,-193.25,2195.13,-1069.49
2024-06-01,1923.4,-372.26,-922.5,1764.58,-1135.93
2024-07-01,2303.13,2545.27,724.82,1163.44,4409.77
2024-08-01,1850.77,-988.31,40.97,1617.65,-714.22
2024-09-01,-116.32,-2545.19,799.22,2189.1,-4051.4
2024-10-01,-3367.49,713.79,27.84,1793.14,-4418.99
2024-11-01,-4330.11,13175.94,1072.48,1500.21,8418.1
2024-12-01,-168.99,-1271.33,992.79,1648.57,-2096.09
2025-01-01,1631.15,675.15,51.54,2052.19,305.66
2025-02-01,20000.0,187.07,-57.25,1964.02,18165.8
2025-03-01,-3364.42,-703.51,-30.25,1728.32,-5826.5
2025-04-01,-3931.46,-4500.0,1955.68,1689.95,-8165.74
2025-05-01,157.04,-446.8,-609.17,1682.47,-2581.41
2025-06-01,-644.71,-4500.0,365.47,1523.28,-6302.52
2025-07-01,1238.12,2688.57,-25.54,2284.61,1616.53
2025-08-01,2202.33,2585.79,-108.43,1703.3,2976.39
2025-09-01,1681.86,2406.44,610.6,2165.15,2533.76
2025-10-01,212.78,-237.05,-646.41,2256.39,-2927.07
2025-11-01,-318.97,-2728.36,5000.0,2099.49,-146.82
2025-12-01,-6000.0,-4500.0,105.25,1670.51,-12065.26
