Video_ID,Upload_Date,Net_Profit
1,2022-01-31,-4.36
2,2022-12-30,9.47
3,2021-05-10,4.89
4,2022-07-18,-49.12
5,2022-02-04,-15.35
6,2021-12-31,13.63
7,2023-09-21,33.23
8,2021-11-10,-6.88
9,2023-06-27,-6.03
10,2019-05-02,-2.69
11,2020-04-11,35.05
12,2022-05-23,2.03
13,2019-11-27,-45.53
14,2023-01-22,36.54
15,2019-03-29,7.69
16,2022-10-28,-26.61
17,2022-01-28,-13.45
18,2021-05-21,-14.83
19,2023-08-15,-3.46
20,2019-05-11,33.35
21,2023-08-13,-35.45
22,2022-08-25,-6.05
23,2021-02-08,3.48
24,2019-12-10,-2.69
25,2023-02-24,-14.22
26,2022-12-08,38.57
27,2021-03-16,-2.9
28,2020-01-21,-4.64
29,2022-04-30,7.42
30,2021-08-13,-5.76
31,2019-10-04,-9.36
32,2022-03-30,-15.86
33,2020-04-04,44.44
34,2022-08-30,15.12
35,2019-01-22,-7.69
36,2019-09-10,26.33
37,2021-01-17,8.97
38,2021-05-06,0.33
39,2023-05-04,-23.93
40,2020-04-19,-15.16
41,2021-12-18,18.03
42,2020-05-25,14.81
43,2023-09-02,-30.66
44,2023-02-08,-8.95
45,2020-11-30,13.11
46,2021-09-02,21.87
47,2023-12-12,11.24
48,2019-07-09,-6.88
49,2021-08-15,12.34
50,2020-11-17,-5.66
51,2021-08-15,6.29
52,2020-07-16,25.29
53,2023-05-10,-14.79
54,2022-06-21,4.23
55,2021-04-11,-0.48
56,2023-03-09,-6.31
57,2022-02-28,-2.03
58,2023-02-17,25.48
59,2020-10-08,11.71
60,2019-01-21,-9.26
61,2021-04-20,15.05
62,2019-06-16,-10.63
63,2022-07-21,-36.1
64,2020-01-23,-45.19
65,2020-08-23,10.37
66,2019-11-12,-6.42
67,2019-01-14,20.61
68,2019-08-30,7.92
69,2021-02-15,5.1
70,2022-10-01,-8.01
71,2020-07-18,22.91
72,2021-06-16,31.26
73,2022-09-25,-40.15
74,2019-04-02,-1.12
75,2022-10-22,26.99
76,2021-08-13,-20.12
77,2023-01-18,3.16
78,2022-12-22,-13.05
79,2020-05-23,-3.82
80,2021-02-14,-37.3
81,2019-02-04,19.12
82,2019-07-25,-13.99
83,2022-01-09,-29.02
84,2023-05-05,-8.47
85,2022-11-12,4.94
86,2021-10-22,-12.16
87,2021-10-18,38.16
88,2022-11-14,9.39
89,2020-07-19,27.46
90,2022-02-03,-2.36
91,2023-12-01,-33.44
92,2023-02-09,-47.41
93,2020-12-03,-20.83
94,2020-02-06,27.07
95,2020-12-30,-9.42
96,2023-04-29,22.02
97,2019-06-11,-22.7
98,2019-07-21,-13.33
99,2021-09-22,-10.72
100,2019-09-27,3.22
101,2021-03-26,-27.31
102,2022-07-18,-16.53
103,2020-03-31,5.69
104,2023-01-25,-29.47
105,2023-10-17,-35.3
106,2022-06-29,0.8
107,2021-10-13,-26.1
108,2023-09-22,24.45
109,2019-10-23,24.37
110,2023-10-15,-12.61
111,2020-12-20,11.05
112,2023-11-08,1.45
113,2019-12-04,19.84
114,2021-05-28,-8.88
115,2021-12-12,11.54
116,2021-03-02,6.24
117,2019-08-05,5.44
118,2021-02-02,89.73
119,2019-07-07,22.02
120,2020-01-15,-9.68
121,2020-05-07,-14.53
122,2021-11-30,-14.98
123,2022-03-26,-15.53
124,2019-01-15,-7.77
125,2019-03-06,10.12
126,2020-06-04,16.52
127,2022-09-29,2.59
128,2022-02-26,28.35
129,2020-10-09,2.17
130,2023-02-04,-48.18
131,2021-12-22,-22.05
132,2022-03-08,13.37
133,2023-03-03,-5.18
134,2020-08-15,-5.72
135,2020-01-27,-19.1
136,2023-08-26,-5.52
137,2020-02-23,-4.98
138,2019-10-16,10.09
139,2020-01-14,-4.61
140,2023-12-02,25.87
141,2023-02-22,-6.38
142,2019-08-19,4.39
143,2021-10-14,-32.3
144,2019-02-10,13.27
