Video_ID,Upload_Date,Length_Minutes,Views,Ads_Revenue,Sponsorship_Revenue,Donations,Total_Revenue
1,2022-01-31,9.3,9734,-25.0,-15.0,112.73,72.73
2,2022-12-30,5.8,1029,122.69,-5.95,-4.55,112.2
3,2021-05-10,7.2,3189,-25.0,36.41,21.45,32.86
4,2022-07-18,4.8,8566,-5.04,14.52,-5.0,4.47
5,2022-02-04,4.4,4699,-12.37,-15.0,-5.0,-32.37
6,2021-12-31,6.1,7606,-25.0,-5.81,6.58,-24.23
7,2023-09-21,1.4,9620,20.4,-15.0,-5.0,0.4
8,2021-11-10,9.4,3414,52.8,48.37,-5.0,96.17
9,2023-06-27,10.1,13317,86.45,-15.0,16.94,88.39
10,2019-05-02,11.8,2645,-25.0,-15.0,-5.0,-45.0
11,2020-04-11,15.9,4011,29.3,-15.0,4.77,19.07
12,2022-05-23,6.0,1732,43.03,-15.0,-5.0,23.03
13,2019-11-27,12.3,2998,-25.0,-15.0,-5.0,-45.0
14,2023-01-22,7.0,13961,39.93,36.34,-1.53,74.75
15,2019-03-29,9.1,9031,-25.0,11.39,-0.19,-13.8
16,2022-10-28,9.4,5782,-25.0,3.03,-5.0,-26.97
17,2022-01-28,11.2,527,-25.0,-15.0,24.27,-15.73
18,2021-05-21,7.2,344,46.6,35.73,-5.0,77.33
19,2023-08-15,1.9,3509,31.63,-15.0,6.41,23.04
20,2019-05-11,6.9,2844,166.0,-15.0,-5.0,146.0
21,2023-08-13,13.9,27325,80.51,-15.0,10.76,76.27
22,2022-08-25,8.8,1473,36.0,750.0,0.43,786.42
23,2021-02-08,12.5,3669,56.92,189.48,1.36,247.77
24,2019-12-10,12.4,1451,-25.0,68.28,-5.0,38.28
25,2023-02-24,8.9,15249,75.09,24.25,126.57,225.9
26,2022-12-08,6.5,5972,667.88,-15.0,21.55,674.43
27,2021-03-16,6.1,1408,12.15,-15.0,1.92,-0.93
28,2020-01-21,9.0,3561,49.01,35.15,12.02,96.18
29,2022-04-30,9.9,7504,23.03,-3.53,250.0,269.5
30,2021-08-13,12.4,3767,-7.65,173.78,-5.0,161.13
31,2019-10-04,4.6,985,75.69,30.55,0.24,106.48
32,2022-03-30,5.2,4517,117.01,-15.0,-5.0,97.01
33,2020-04-04,8.9,3561,34.11,123.91,-5.0,153.02
34,2022-08-30,5.0,9661,-25.0,-15.0,-5.0,-45.0
35,2019-01-22,10.1,9701,-3.09,-15.0,-5.0,-23.09
36,2019-09-10,8.4,2086,44.01,-15.0,57.43,86.43
37,2021-01-17,5.6,10185,-25.0,25.37,-5.0,-4.63
38,2021-05-06,14.4,16685,-19.79,-15.0,-5.0,-39.79
39,2023-05-04,8.7,29034,-25.0,-6.97,-5.0,-36.97
40,2020-04-19,10.5,3224,60.94,-4.44,0.4,56.9
41,2021-12-18,10.6,27973,-25.0,750.0,-5.0,720.0
42,2020-05-25,12.3,458,-8.89,-15.0,-5.0,-28.89
43,2023-09-02,10.2,5740,-25.0,-1.69,-5.0,-31.69
44,2023-02-08,8.7,626,-25.0,-15.0,-0.89,-40.89
45,2020-11-30,6.8,6394,-20.19,750.0,0.54,730.36
46,2021-09-02,11.1,2274,-14.3,159.24,13.31,158.25
47,2023-12-12,12.5,8951,44.23,15.43,36.13,95.79
48,2019-07-09,12.7,2301,100.09,-5.65,0.18,94.63
49,2021-08-15,13.0,117,343.3,29.5,9.59,382.39
50,2020-11-17,8.8,24133,-25.0,-15.0,4.74,-35.26
51,2021-08-15,6.7,6833,-25.0,-15.0,-5.0,-45.0
