Video_ID,Upload_Date,Length_Minutes,Views,Ads_Revenue,Sponsorship_Revenue,Donations,Total_Revenue,Expenses,Net_Profit
1,2022-01-31,9.3,9734,317.76,62.54,112.57,492.87,226.15,266.72
2,2022-12-30,5.8,1029,172.69,38.16,13.88,224.73,10.0,214.73
3,2021-05-10,7.2,3189,76.63,66.41,29.41,172.45,10.0,162.45
4,2022-07-18,4.8,8566,44.96,44.52,19.5,108.98,10.0,98.98
5,2022-02-04,4.4,4699,58.59,77.86,13.78,150.23,48.78,101.45
6,2021-12-31,6.1,7606,82.86,38.14,16.04,137.03,10.0,127.03
7,2023-09-21,1.4,9620,70.4,43.17,14.74,128.32,109.97,18.34
8,2021-11-10,9.4,3414,102.8,78.37,16.04,197.21,49.78,147.42
9,2023-06-27,10.1,13317,136.45,282.16,25.45,444.07,49.22,394.84
10,2019-05-02,11.8,2645,90.81,79.92,16.05,186.78,10.0,176.78
11,2020-04-11,15.9,4011,79.3,727.12,14.36,820.78,137.07,683.71
12,2022-05-23,6.0,1732,93.03,466.49,19.33,578.86,20.3,558.56
13,2019-11-27,12.3,2998,75.51,88.49,19.28,183.28,53.76,129.52
14,2023-01-22,7.0,13961,89.93,66.34,11.74,168.02,134.09,33.93
15,2019-03-29,9.1,9031,328.3,41.39,10.94,380.62,71.51,309.12
16,2022-10-28,9.4,5782,80.56,33.03,76.3,189.88,72.26,117.62
17,2022-01-28,11.2,527,194.05,127.37,32.01,353.43,220.78,132.66
18,2021-05-21,7.2,344,96.6,65.73,53.94,216.27,10.0,206.27
19,2023-08-15,1.9,3509,81.63,87.11,15.83,184.57,70.04,114.53
20,2019-05-11,6.9,2844,216.0,900.0,17.46,1133.46,59.83,1073.62
21,2023-08-13,13.9,27325,130.51,82.37,19.72,232.61,10.0,222.61
22,2022-08-25,8.8,1473,86.0,900.0,10.36,996.36,10.0,986.36
23,2021-02-08,12.5,3669,106.92,219.48,11.2,337.6,116.38,221.22
24,2019-12-10,12.4,1451,108.4,98.28,23.41,230.1,42.01,188.09
25,2023-02-24,8.9,15249,125.09,54.25,125.07,304.4,57.36,247.04
26,2022-12-08,6.5,5972,717.88,69.55,29.61,817.05,82.14,734.9
27,2021-03-16,6.1,1408,62.15,48.95,11.8,122.9,42.74,80.16
28,2020-01-21,9.0,3561,99.01,65.15,20.94,185.11,152.86,32.25
29,2022-04-30,9.9,7504,73.03,34.58,300.0,407.61,80.48,327.13
30,2021-08-13,12.4,3767,56.25,203.78,15.09,275.12,27.43,247.69
31,2019-10-04,4.6,985,125.69,60.55,10.22,196.46,10.0,186.46
32,2022-03-30,5.2,4517,167.01,90.72,20.37,278.1,90.84,187.26
33,2020-04-04,8.9,3561,84.11,153.91,20.33,258.36,71.98,186.38
34,2022-08-30,5.0,9661,85.62,91.7,31.34,208.66,10.0,198.66
35,2019-01-22,10.1,9701,51.18,103.88,22.13,177.19,96.34,80.86
36,2019-09-10,8.4,2086,94.01,82.89,62.24,239.14,10.0,229.14
37,2021-01-17,5.6,10185,119.01,55.37,38.03,212.41,281.21,-68.81
38,2021-05-06,14.4,16685,69.99,900.0,18.48,988.47,215.87,772.59
39,2023-05-04,8.7,29034,198.23,32.48,29.27,259.99,46.1,213.88
40,2020-04-19,10.5,3224,110.94,33.0,10.36,154.31,49.11,105.2
41,2021-12-18,10.6,27973,112.86,900.0,41.68,1054.54,10.0,1044.54
42,2020-05-25,12.3,458,62.65,47.56,14.85,125.07,69.88,55.19
43,2023-09-02,10.2,5740,190.55,31.26,28.15,249.96,600.0,-350.04
44,2023-02-08,8.7,626,84.7,124.13,10.97,219.81,37.48,182.33
45,2020-11-30,6.8,6394,73.59,900.0,10.53,984.11,10.0,974.11
46,2021-09-02,11.1,2274,69.86,189.24,22.1,281.2,59.24,221.97
47,2023-12-12,12.5,8951,94.23,45.43,42.95,182.61,67.62,114.99
48,2019-07-09,12.7,2301,150.09,32.99,10.32,193.4,57.95,135.45
49,2021-08-15,13.0,117,393.3,59.5,18.76,471.56,37.39,434.17
50,2020-11-17,8.8,24133,114.61,900.0,14.24,1028.85,10.0,1018.85
51,2021-08-15,6.7,6833,111.48,370.93,35.43,517.84,10.0,507.84
52,2020-07-16,6.6,13360,245.96,87.21,14.99,348.16,10.0,338.16
53,2023-05-10,7.8,8033,86.35,34.34,14.25,134.94,10.0,124.94
54,2022-06-21,12.0,954,113.43,62.97,11.32,187.72,70.95,116.76
55,2021-04-11,13.9,7154,115.41,83.02,31.59,230.02,63.4,166.62
56,2023-03-09,11.2,366099,96.57,85.0,9.51,191.07,73.76,117.31
57,2022-02-28,4.9,4596,84.31,70.45,44.68,199.44,10.0,189.44
58,2023-02-17,4.9,573,88.95,79.98,300.0,468.93,10.0,458.93
59,2020-10-08,8.7,5799,56.79,900.0,19.75,976.54,202.46,774.08
60,2019-01-21,4.1,3004,63.17,148.41,11.36,222.94,10.0,212.94
61,2021-04-20,6.7,9671,144.01,49.07,207.95,401.03,75.59,325.44
62,2019-06-16,6.5,9377,73.21,43.34,10.5,127.05,55.7,71.34
63,2022-07-21,8.2,1265,59.5,41.26,56.32,157.07,147.05,10.02
64,2020-01-23,10.8,10004,84.64,96.24,49.01,229.89,47.14,182.75
65,2020-08-23,5.1,3225,67.0,64.48,55.8,187.28,72.63,114.65
66,2019-11-12,9.0,35424,82.43,55.2,22.62,160.24,10.0,150.24
67,2019-01-14,7.7,855,82.38,45.3,52.17,179.85,54.53,125.31
68,2019-08-30,7.8,12337,58.75,80.02,20.69,159.47,47.03,112.43
69,2021-02-15,9.8,4979,55.73,44.09,32.73,132.54,56.55,76.0
70,2022-10-01,6.9,458,94.44,58.12,15.17,167.73,160.14,7.59
71,2020-07-18,9.0,47737,612.78,89.86,11.71,714.36,103.86,610.5
72,2021-06-16,10.2,52860,63.89,98.75,25.11,187.76,10.0,177.76
73,2022-09-25,7.4,27143,55.59,55.88,49.55,161.02,10.0,151.02
74,2019-04-02,8.8,1203,133.99,150.6,21.08,305.67,43.84,261.83
75,2022-10-22,9.3,8060,57.03,35.04,15.09,107.16,247.4,-140.24
76,2021-08-13,6.3,7451,172.62,39.34,33.95,245.92,10.0,235.92
77,2023-01-18,6.6,552,72.44,39.54,14.39,126.37,61.34,65.03
78,2022-12-22,3.4,2200,75.98,64.42,78.63,219.02,58.86,160.16
79,2020-05-23,5.6,2384,118.28,85.24,39.0,242.51,119.87,122.64
80,2021-02-14,4.2,311,128.12,30.17,20.05,178.33,54.44,123.9
81,2019-02-04,8.2,1042,78.23,103.55,21.92,203.7,83.41,120.29
82,2019-07-25,10.3,1836,815.5,56.31,89.86,961.66,47.59,914.08
83,2022-01-09,9.9,746010,52.53,66.12,300.0,418.64,213.07,205.57
84,2023-05-05,10.8,34181,808.97,169.73,29.6,1008.3,38.76,969.53
85,2022-11-12,7.8,1275,85.83,79.99,35.2,201.02,28.86,172.17
86,2021-10-22,8.0,22329,120.98,52.76,17.03,190.78,10.0,180.78
87,2021-10-18,12.0,15433,109.09,35.07,29.25,173.4,448.0,-274.6
88,2022-11-14,3.8,26161,93.39,65.3,54.29,212.98,10.0,202.98
89,2020-07-19,3.2,12906,127.75,61.47,15.61,204.84,10.0,194.84
90,2022-02-03,7.8,10904,88.51,35.77,10.84,135.12,85.57,49.55
91,2023-12-01,10.1,19456,88.21,51.56,27.92,167.68,24.11,143.57
92,2023-02-09,4.9,985,86.31,97.91,12.95,197.17,102.68,94.49
93,2020-12-03,8.2,1172,72.34,108.74,17.09,198.17,68.95,129.22
94,2020-02-06,7.2,3655,58.51,160.32,35.9,254.73,75.53,179.2
95,2020-12-30,5.0,251978,83.83,37.07,19.04,139.94,53.92,86.02
96,2023-04-29,8.3,9814,106.51,70.84,12.53,189.88,74.47,115.41
97,2019-06-11,2.9,2497,75.35,37.23,28.71,141.29,120.24,21.05
98,2019-07-21,9.4,967,51.7,61.58,19.79,133.07,63.13,69.94
99,2021-09-22,10.6,7445,64.37,103.39,22.94,190.7,90.92,99.78
100,2019-09-27,6.1,4566,108.2,104.71,86.46,299.38,10.0,289.38
101,2021-03-26,10.5,2389,58.42,33.63,109.28,201.33,50.31,151.02
102,2022-07-18,9.6,93216,76.9,155.67,10.7,243.27,30.88,212.39
103,2020-03-31,5.1,6824,515.19,34.75,15.91,565.86,52.5,513.36
104,2023-01-25,7.4,13256,163.99,53.87,10.45,228.31,10.0,218.31
105,2023-10-17,9.5,478136,50.26,42.42,93.17,185.85,91.84,94.02
106,2022-06-29,9.1,4934,60.33,65.4,33.22,158.95,43.51,115.44
107,2021-10-13,3.8,19802,66.87,117.23,300.0,484.11,80.85,403.26
108,2023-09-22,9.3,9307,60.06,900.0,38.7,998.76,164.06,834.7
109,2019-10-23,4.6,589,74.37,134.54,23.32,232.23,21.92,210.31
110,2023-10-15,3.2,19084,90.79,33.5,15.21,139.5,398.76,-259.26
111,2020-12-20,9.3,5269,96.19,121.08,20.63,237.89,10.0,227.89
112,2023-11-08,7.5,18524,53.39,778.32,16.51,848.22,21.96,826.25
113,2019-12-04,8.3,2383,120.96,48.98,35.86,205.8,97.29,108.51
114,2021-05-28,11.8,2132,61.73,36.24,18.11,116.08,10.0,106.08
115,2021-12-12,7.3,3845,111.4,63.72,103.56,278.68,10.0,268.68
116,2021-03-02,5.6,4975,51.11,48.31,10.55,109.97,10.0,99.97
117,2019-08-05,3.7,11368,60.57,171.28,33.77,265.62,32.22,233.4
118,2021-02-02,11.0,2543,1500.0,35.31,73.85,1609.17,351.07,1258.1
119,2019-07-07,9.0,11110,129.04,67.47,160.72,357.23,299.44,57.79
120,2020-01-15,8.9,14186,117.45,337.07,20.05,474.57,57.91,416.66
121,2020-05-07,9.9,7227,330.07,63.0,12.22,405.29,383.46,21.83
122,2021-11-30,12.3,1691,74.02,41.82,15.98,131.82,124.58,7.24
123,2022-03-26,5.3,7018,153.52,57.65,66.27,277.43,116.02,161.41
124,2019-01-15,5.2,6587,183.31,139.88,25.26,348.45,64.11,284.33
125,2019-03-06,7.5,6754,101.69,30.97,29.6,162.26,10.0,152.26
126,2020-06-04,5.1,733,90.23,50.79,189.84,330.86,56.01,274.84
127,2022-09-29,8.5,3854,51.13,94.23,20.71,166.07,90.91,75.15
128,2022-02-26,6.8,2373,54.65,106.28,14.12,175.06,28.25,146.81
129,2020-10-09,9.5,5015,58.62,111.72,19.61,189.95,10.0,179.95
130,2023-02-04,7.0,9422,597.62,199.59,63.51,860.72,10.0,850.72
131,2021-12-22,8.8,4631,93.76,768.44,18.34,880.54,10.0,870.54
132,2022-03-08,6.2,2126,79.91,210.21,103.23,393.35,84.3,309.06
133,2023-03-03,9.2,6707,108.88,50.13,23.76,182.77,10.0,172.77
134,2020-08-15,10.1,1791,146.1,153.83,45.26,345.19,179.58,165.62
135,2020-01-27,7.3,1829,56.28,139.09,24.67,220.05,10.0,210.05
136,2023-08-26,9.6,1800,160.92,29.98,21.2,212.09,37.47,174.62
137,2020-02-23,6.9,1164,171.69,91.7,62.06,325.45,112.98,212.47
138,2019-10-16,5.3,14090,63.6,92.12,37.38,193.1,27.8,165.3
139,2020-01-14,9.8,2034,62.29,121.86,24.41,208.55,35.79,172.77
140,2023-12-02,8.4,7593,68.37,106.98,10.53,185.88,58.39,127.49
141,2023-02-22,11.1,105419,350.92,165.51,10.56,526.99,61.39,465.6
142,2019-08-19,4.6,7810,64.08,32.09,48.16,144.33,10.0,134.33
143,2021-10-14,7.2,4360,82.77,91.85,34.57,209.18,89.13,120.06
144,2019-02-10,6.5,3992,55.86,81.61,18.1,155.57,63.51,92.06
145,2021-11-17,7.8,4163,245.83,70.48,16.69,333.0,34.74,298.26
146,2019-05-15,4.3,8006,277.53,56.19,14.68,348.4,216.12,132.29
147,2019-07-20,11.3,11693,58.51,72.61,76.51,207.64,600.0,-392.36
148,2021-02-18,7.3,3515,55.39,35.63,68.37,159.39,10.0,149.39
149,2021-07-18,2.2,3065,80.76,33.24,13.25,127.25,34.69,92.56
150,2021-11-22,3.6,7457,187.01,181.01,38.45,406.47,41.25,365.21
151,2021-12-07,6.8,3094,50.08,38.2,20.18,108.46,16.29,92.17
152,2020-05-17,4.1,4367,54.03,84.42,19.76,158.22,324.32,-166.11
153,2020-02-11,8.6,23406,113.07,150.89,15.72,279.69,68.64,211.05
154,2023-05-17,11.4,5783,161.82,91.65,22.77,276.23,99.39,176.84
155,2023-10-18,5.8,4172,70.06,140.85,18.76,229.68,10.0,219.68
156,2021-03-15,9.5,29751,61.85,33.12,49.3,144.27,10.0,134.27
157,2019-04-09,12.0,3546,169.91,86.51,87.29,343.71,143.84,199.87
158,2020-11-14,1.0,15259,60.02,68.36,20.59,148.97,10.0,138.97
159,2020-12-26,7.2,447,131.85,42.16,36.15,210.17,37.36,172.8
160,2023-04-20,6.1,5850,82.59,168.35,12.28,263.22,79.37,183.85
161,2021-08-18,5.7,23079,73.18,99.35,90.27,262.8,67.11,195.69
162,2023-10-29,9.6,48763,108.01,48.55,14.52,171.07,69.54,101.53
163,2020-09-04,6.0,1319,1500.0,123.37,41.61,1664.98,66.83,1598.16
164,2023-01-25,8.6,33890,301.58,33.1,19.0,353.68,158.65,195.03
165,2020-10-04,8.7,36015,47.46,37.87,84.3,169.63,219.02,-49.38
166,2023-11-28,6.5,3258,106.73,525.53,146.56,778.82,150.71,628.11
167,2021-10-25,12.5,7596,50.43,33.7,19.06,103.18,69.18,34.0
168,2022-05-26,12.4,5718,106.08,38.57,14.58,159.23,10.0,149.23
169,2020-05-17,1.0,1826,170.9,44.31,14.38,229.59,10.0,219.59
170,2021-02-05,9.8,441,215.56,44.38,16.31,276.25,28.9,247.35
171,2020-02-02,8.6,3649,172.99,98.98,15.85,287.82,82.57,205.25
