Video_ID,Upload_Date,Length_Minutes,Views,Ads_Revenue,Sponsorship_Revenue,Donations,Total_Revenue,Expenses,Net_Profit
1,2022-01-31,9.3,9734,288.03,62.54,112.57,463.14,89.55,373.59
2,2022-12-30,5.8,1029,159.15,38.16,13.88,211.19,66.95,144.25
3,2021-05-10,7.2,3189,73.75,66.41,29.41,169.57,102.79,66.78
4,2022-07-18,4.8,8566,44.83,44.52,19.5,108.85,52.39,56.46
5,2022-02-04,4.4,4699,57.43,77.86,13.78,149.07,106.34,42.72
6,2021-12-31,6.1,7606,79.4,38.14,16.04,133.58,52.42,81.16
7,2023-09-21,1.4,9620,68.59,43.17,14.74,126.51,25.44,101.07
8,2021-11-10,9.4,3414,96.82,78.37,16.04,191.23,61.53,129.7
9,2023-06-27,10.1,13317,126.74,282.16,25.45,434.35,52.01,382.34
10,2019-05-02,11.8,2645,86.25,79.92,16.05,182.22,105.48,76.74
11,2020-04-11,15.9,4011,76.52,727.12,14.36,818.0,72.6,745.4
12,2022-05-23,6.0,1732,88.26,466.49,19.33,574.09,52.18,521.91
13,2019-11-27,12.3,2998,72.05,88.49,19.28,179.82,33.16,146.66
14,2023-01-22,7.0,13961,85.99,66.34,11.74,164.08,38.39,125.68
15,2019-03-29,9.1,9031,297.57,41.39,10.94,349.89,89.91,259.98
16,2022-10-28,9.4,5782,76.8,33.03,76.3,186.13,21.46,164.67
17,2022-01-28,11.2,527,177.9,127.37,32.01,337.29,63.0,274.28
18,2021-05-21,7.2,344,91.21,65.73,53.94,210.87,46.3,164.57
19,2023-08-15,1.9,3509,78.06,87.11,15.83,181.0,47.83,133.17
20,2019-05-11,6.9,2844,197.97,900.0,17.46,1115.42,62.0,1053.42
21,2023-08-13,13.9,27325,121.05,82.37,19.72,223.14,83.17,139.97
22,2022-08-25,8.8,1473,81.9,900.0,10.36,992.26,73.0,919.26
23,2021-02-08,12.5,3669,100.63,219.48,11.2,331.31,40.11,291.2
24,2019-12-10,12.4,1451,101.89,98.28,23.41,223.59,84.13,139.46
25,2023-02-24,8.9,15249,116.52,54.25,125.07,295.84,61.91,233.93
26,2022-12-08,6.5,5972,644.0,69.55,29.61,743.17,47.85,695.31
27,2021-03-16,6.1,1408,60.76,48.95,11.8,121.51,77.05,44.46
28,2020-01-21,9.0,3561,93.49,65.15,20.94,179.58,68.74,110.84
29,2022-04-30,9.9,7504,70.56,34.58,300.0,405.15,59.53,345.62
30,2021-08-13,12.4,3767,55.47,203.78,15.09,274.35,57.57,216.78
31,2019-10-04,4.6,985,117.12,60.55,10.22,187.9,74.27,113.63
32,2022-03-30,5.2,4517,153.75,90.72,20.37,264.84,85.18,179.66
33,2020-04-04,8.9,3561,80.93,153.91,20.33,255.17,36.12,219.05
34,2022-08-30,5.0,9661,81.89,91.7,31.34,204.92,54.63,150.29
35,2019-01-22,10.1,9701,50.94,103.88,22.13,176.96,29.8,147.16
36,2019-09-10,8.4,2086,89.47,82.89,62.24,234.6,65.48,169.12
37,2021-01-17,5.6,10185,111.49,55.37,38.03,204.88,56.73,148.16
38,2021-05-06,14.4,16685,67.78,900.0,18.48,986.26,30.45,955.8
39,2023-05-04,8.7,29034,181.48,32.48,29.27,243.23,64.72,178.51
40,2020-04-19,10.5,3224,103.94,33.0,10.36,147.31,28.48,118.82
41,2021-12-18,10.6,27973,106.15,900.0,41.68,1047.83,42.71,1005.11
42,2020-05-25,12.3,458,61.46,47.56,14.85,123.87,70.15,53.72
43,2023-09-02,10.2,5740,174.55,31.26,28.15,233.96,55.95,178.02
44,2023-02-08,8.7,626,80.73,124.13,10.97,215.84,61.03,154.81
45,2020-11-30,6.8,6394,71.15,900.0,10.53,981.68,86.39,895.29
46,2021-09-02,11.1,2274,67.96,189.24,22.1,279.31,85.37,193.94
47,2023-12-12,12.5,8951,89.46,45.43,42.95,177.84,80.15,97.69
48,2019-07-09,12.7,2301,138.84,32.99,10.32,182.15,40.86,141.29
49,2021-08-15,13.0,117,355.22,59.5,18.76,433.48,51.94,381.54
50,2020-11-17,8.8,24133,107.37,900.0,14.24,1021.61,35.57,986.04
51,2021-08-15,6.7,6833,104.76,370.93,35.43,511.12,63.21,447.9
52,2020-07-16,6.6,13360,224.6,87.21,14.99,326.8,64.76,262.04
53,2023-05-10,7.8,8033,82.09,34.34,14.25,130.68,52.93,77.75
54,2022-06-21,12.0,954,106.46,62.97,11.32,180.75,80.57,100.18
55,2021-04-11,13.9,7154,108.12,83.02,31.59,222.72,65.77,156.95
56,2023-03-09,11.2,366099,91.32,85.0,9.51,185.82,62.56,123.26
57,2022-02-28,4.9,4596,80.46,70.45,44.68,195.59,62.93,132.66
58,2023-02-17,4.9,573,84.98,79.98,300.0,464.97,93.75,371.22
59,2020-10-08,8.7,5799,56.2,900.0,19.75,975.95,71.4,904.55
60,2019-01-21,4.1,3004,61.57,148.41,11.36,221.34,48.67,172.67
61,2021-04-20,6.7,9671,133.75,49.07,207.95,390.76,35.75,355.01
62,2019-06-16,6.5,9377,70.48,43.34,10.5,124.31,65.4,58.91
63,2022-07-21,8.2,1265,57.95,41.26,56.32,155.52,49.46,106.06
64,2020-01-23,10.8,10004,80.15,96.24,49.01,225.4,33.86,191.54
65,2020-08-23,5.1,3225,65.25,64.48,55.8,185.53,37.34,148.19
66,2019-11-12,9.0,35424,78.74,55.2,22.62,156.56,25.34,131.22
67,2019-01-14,7.7,855,79.06,45.3,52.17,176.52,85.33,91.2
68,2019-08-30,7.8,12337,57.89,80.02,20.69,158.6,51.1,107.5
69,2021-02-15,9.8,4979,55.16,44.09,32.73,131.98,45.28,86.7
70,2022-10-01,6.9,458,89.38,58.12,15.17,162.67,44.96,117.71
71,2020-07-18,9.0,47737,550.4,89.86,11.71,651.97,22.57,629.41
72,2021-06-16,10.2,52860,62.78,98.75,25.11,186.65,72.02,114.63
